epoch,train_loss,train_acc,val_loss,val_acc,F1_score,Ι,Θ,Κ,Λ,C moon-shaped sigma,V = Y,Α,Ε,Η,Τ,Ρ = rho,Ο,bg,Ν,ω,Γ,Π,R = βῆτα,Φ,ligature OU,Croisette,Μ,Δ,Χ,S = καί
0,2.9147862300785197,0.19750656187534332,1.9493773062974216,0.412,nan,0.8888888888888888,0.0,0.0,0.125,0.8125,0.0,0.5217391304347826,0.6923076923076923,0.0,0.42857142857142855,0.06666666666666667,0.5882352941176471,0.9411764705882353,0.3076923076923077,0.3333333333333333,0.5,0.2857142857142857,0.14285714285714285,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1,1.6387724281335128,0.5413385629653931,1.1541927762627602,0.632,nan,1.0,0.5,1.0,0.0,1.0,0.2857142857142857,0.9565217391304348,0.6153846153846154,0.1111111111111111,0.8571428571428571,0.6666666666666666,0.6470588235294118,0.8823529411764706,0.6153846153846154,0.9166666666666666,0.16666666666666666,0.2857142857142857,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2,1.0515887604200151,0.7014435529708862,0.8907861758470536,0.732,nan,1.0,0.8333333333333334,0.9,0.0,0.75,0.7142857142857143,0.8695652173913043,1.0,0.6666666666666666,0.7857142857142857,0.8666666666666667,0.5294117647058824,0.9411764705882353,0.6923076923076923,1.0,0.5,0.5714285714285714,0.42857142857142855,0.8,0.2,0.8,0.5,0.0,0.0,0.0
3,0.6560319909224595,0.817585289478302,0.6542622426599264,0.78,nan,0.8333333333333334,1.0,0.8,0.5,0.875,0.7142857142857143,0.8695652173913043,0.7692307692307693,0.5555555555555556,0.9285714285714286,0.8666666666666667,0.6470588235294118,0.8823529411764706,1.0,0.9166666666666666,0.5,1.0,0.5714285714285714,1.0,0.2,0.9,0.0,0.5,0.5,0.0
4,0.457424599305773,0.874015748500824,0.480669439624995,0.852,nan,0.9444444444444444,1.0,0.9,0.625,0.8125,1.0,0.9565217391304348,1.0,1.0,1.0,0.8666666666666667,0.7647058823529411,0.8823529411764706,0.7692307692307693,1.0,0.5,0.7142857142857143,0.5714285714285714,1.0,0.4,0.7,0.75,1.0,0.0,1.0
5,0.26415216582619494,0.9376640319824219,0.5780725524313748,0.816,0.7498959149726361,0.8888888888888888,1.0,0.9,0.375,0.75,1.0,0.9130434782608695,1.0,1.0,1.0,0.8666666666666667,0.7647058823529411,0.9411764705882353,0.7692307692307693,0.9166666666666666,0.3333333333333333,0.8571428571428571,0.42857142857142855,0.6,0.4,0.8,0.25,1.0,0.5,0.5
6,0.18702336442669037,0.9593175649642944,0.47556158737838267,0.86,0.8327204182719349,1.0,1.0,0.9,0.75,0.9375,0.8571428571428571,0.6521739130434783,0.7692307692307693,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.7692307692307693,1.0,0.8333333333333334,1.0,0.5714285714285714,0.8,0.4,1.0,0.75,1.0,0.5,1.0
7,0.18433936244289922,0.9514435529708862,0.5714668059628457,0.836,nan,1.0,1.0,0.9,0.625,0.9375,1.0,0.8695652173913043,0.9230769230769231,0.8888888888888888,1.0,0.8,0.7647058823529411,0.9411764705882353,0.6923076923076923,0.9166666666666666,0.16666666666666666,0.8571428571428571,0.14285714285714285,1.0,0.6,0.8,1.0,1.0,0.0,1.0
8,0.14714155512986574,0.9671915769577026,0.5147045876495541,0.864,0.8341858944121122,1.0,0.8333333333333334,0.9,0.875,0.9375,0.8571428571428571,0.8695652173913043,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.8823529411764706,0.5384615384615384,0.8333333333333334,0.5,1.0,0.5714285714285714,1.0,0.4,1.0,0.75,1.0,0.5,1.0
9,0.1233148082297569,0.9724409580230713,0.4959036996709183,0.86,0.8099706802327441,0.9444444444444444,1.0,0.9,0.625,0.9375,0.7142857142857143,0.9130434782608695,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.9230769230769231,0.9166666666666666,0.3333333333333333,1.0,0.5714285714285714,0.8,0.4,0.8,0.25,1.0,0.5,1.0
10,0.07656106973687808,0.9849081039428711,0.5657377656949684,0.844,0.7976272754687597,1.0,0.6666666666666666,0.9,0.625,0.875,0.8571428571428571,0.9130434782608695,0.9230769230769231,1.0,1.0,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,0.9166666666666666,0.3333333333333333,1.0,0.5714285714285714,0.8,0.4,0.8,0.25,1.0,0.5,1.0
11,0.10262342928260995,0.971784770488739,0.5297567538403964,0.84,0.7975743864984551,1.0,1.0,0.9,0.75,0.8125,0.8571428571428571,0.782608695652174,1.0,1.0,1.0,0.8666666666666667,0.7647058823529411,0.9411764705882353,0.7692307692307693,0.9166666666666666,0.3333333333333333,1.0,0.42857142857142855,1.0,0.4,0.8,0.25,1.0,0.5,1.0
12,0.0645931058701096,0.9868766069412231,0.4492762019056827,0.864,0.8226019348272717,1.0,0.8333333333333334,0.9,0.75,0.875,0.8571428571428571,0.8695652173913043,0.9230769230769231,1.0,0.9285714285714286,0.8666666666666667,0.8235294117647058,1.0,0.9230769230769231,0.9166666666666666,0.6666666666666666,1.0,0.42857142857142855,0.8,0.4,0.9,0.25,1.0,0.5,1.0
13,0.06673720771669266,0.9855642914772034,0.4830885001625866,0.852,0.8346364028250802,1.0,0.8333333333333334,0.9,0.75,0.8125,0.8571428571428571,0.6956521739130435,1.0,1.0,0.9285714285714286,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.9230769230769231,0.9166666666666666,0.6666666666666666,0.8571428571428571,0.42857142857142855,1.0,0.6,0.8,0.75,1.0,0.5,1.0
14,0.05671497174857057,0.9895012974739075,0.48144880066564655,0.856,0.8198590638028473,1.0,0.8333333333333334,0.8,0.875,0.9375,0.7142857142857143,0.8260869565217391,0.7692307692307693,1.0,0.9285714285714286,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.9230769230769231,1.0,0.5,1.0,0.42857142857142855,1.0,0.4,0.9,0.5,1.0,0.5,1.0
15,0.040064521906869925,0.9901574850082397,0.5157376227807253,0.84,0.8005468055034274,1.0,1.0,0.9,0.625,0.875,0.7142857142857143,0.9130434782608695,0.8461538461538461,1.0,0.9285714285714286,0.8,0.8235294117647058,0.9411764705882353,0.6923076923076923,0.9166666666666666,0.5,1.0,0.7142857142857143,1.0,0.2,0.8,0.25,1.0,0.5,1.0
16,0.018811371472407207,0.998031497001648,0.4466037484984845,0.872,0.830137809404046,1.0,1.0,0.9,0.75,0.8125,0.7142857142857143,0.9565217391304348,1.0,1.0,0.9285714285714286,0.8,0.8823529411764706,0.9411764705882353,1.0,0.9166666666666666,0.3333333333333333,1.0,0.7142857142857143,1.0,0.4,0.9,0.25,0.75,0.5,1.0
17,0.029468510865230477,0.9947506785392761,0.45091167944227345,0.88,0.8380026239630359,1.0,1.0,0.9,0.625,0.9375,0.8571428571428571,0.8695652173913043,1.0,1.0,1.0,0.8,0.8823529411764706,0.9411764705882353,0.9230769230769231,1.0,0.5,1.0,0.5714285714285714,1.0,0.4,0.9,0.25,1.0,0.5,1.0
18,0.020049033434438247,0.9967191815376282,0.44300397435133343,0.872,0.8446061650730582,1.0,1.0,0.9,0.625,0.875,0.8571428571428571,0.8260869565217391,0.9230769230769231,1.0,0.9285714285714286,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.9230769230769231,1.0,0.8333333333333334,1.0,0.5714285714285714,1.0,0.6,0.8,0.25,1.0,0.5,1.0
19,0.02955204069703326,0.9934383034706116,0.5190892180567608,0.84,0.7937082411509141,1.0,1.0,0.9,0.625,0.75,0.8571428571428571,0.8695652173913043,0.8461538461538461,1.0,0.9285714285714286,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.5714285714285714,1.0,0.2,0.8,0.25,1.0,0.5,1.0
20,0.01796137941316787,0.9973753094673157,0.4860937144428026,0.868,0.8387739630259154,1.0,1.0,0.9,1.0,0.9375,1.0,0.6956521739130435,1.0,1.0,1.0,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.42857142857142855,1.0,0.4,0.8,0.5,1.0,0.5,1.0
21,0.023296352330591588,0.9947506785392761,0.44019461089372636,0.864,0.8269355125351993,1.0,1.0,1.0,0.75,0.875,0.8571428571428571,0.7391304347826086,1.0,1.0,0.9285714285714286,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,0.9166666666666666,0.8333333333333334,1.0,0.42857142857142855,1.0,0.2,0.9,0.75,1.0,0.5,1.0
22,0.013016613007446273,1.0,0.41970595333713573,0.86,0.828671360625139,1.0,1.0,0.9,0.875,0.875,0.8571428571428571,0.7391304347826086,1.0,1.0,1.0,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.42857142857142855,1.0,0.4,0.9,0.5,0.75,0.5,1.0
23,0.019038252721962596,0.9986876845359802,0.42419187228835653,0.872,0.8439606875681287,1.0,1.0,0.9,1.0,0.9375,1.0,0.8260869565217391,0.9230769230769231,1.0,0.9285714285714286,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.6666666666666666,1.0,0.42857142857142855,0.8,0.4,0.8,0.5,1.0,0.5,1.0
24,0.013384172610052142,0.9993438124656677,0.4083453358730767,0.872,0.8415760413482674,1.0,1.0,0.9,0.75,0.8125,1.0,0.9130434782608695,0.9230769230769231,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.7692307692307693,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.4,0.9,0.5,1.0,0.5,1.0
25,0.013394937611115806,0.998031497001648,0.45918623739061876,0.86,0.8370309719096745,1.0,1.0,0.9,0.75,0.8125,1.0,0.782608695652174,0.8461538461538461,1.0,1.0,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.5714285714285714,1.0,0.4,0.9,0.5,1.0,0.5,1.0
26,0.014488611887204534,0.998031497001648,0.44584478981141,0.856,0.8212310450146437,1.0,1.0,0.9,1.0,0.8125,0.7142857142857143,0.782608695652174,0.8461538461538461,1.0,1.0,0.8666666666666667,0.7647058823529411,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.7142857142857143,1.0,0.4,0.8,0.5,1.0,0.5,0.5
27,0.014206439496239976,0.9993438124656677,0.42623178855283184,0.868,0.846861040321,1.0,1.0,0.9,1.0,0.8125,0.8571428571428571,0.782608695652174,0.8461538461538461,1.0,1.0,0.8666666666666667,0.7647058823529411,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.7142857142857143,1.0,0.4,0.9,0.5,1.0,0.5,1.0
28,0.024199120961377163,0.9960629940032959,0.43178787203039976,0.872,0.8359112653772097,1.0,1.0,0.9,1.0,0.8125,1.0,0.8260869565217391,0.9230769230769231,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.3333333333333333,1.0,0.7142857142857143,0.8,0.2,0.9,0.5,1.0,0.5,1.0
29,0.014890645452711812,0.9973753094673157,0.4204227386247949,0.876,0.8486414236919415,1.0,1.0,0.9,1.0,0.8125,0.8571428571428571,0.7391304347826086,1.0,1.0,1.0,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.6666666666666666,1.0,0.7142857142857143,0.8,0.4,1.0,0.5,1.0,0.5,1.0
30,0.013937882355886715,0.9973753094673157,0.4385709667793708,0.876,0.83418277968354,1.0,1.0,0.9,0.875,0.875,1.0,0.8260869565217391,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.2,0.9,0.5,1.0,0.5,1.0
31,0.01314158308996698,0.9967191815376282,0.4122738504152512,0.868,0.8332666244372027,1.0,1.0,0.9,1.0,0.8125,0.7142857142857143,0.782608695652174,1.0,1.0,1.0,0.8,0.8235294117647058,0.9411764705882353,0.9230769230769231,1.0,0.3333333333333333,1.0,0.7142857142857143,0.8,0.4,0.9,0.5,1.0,0.5,1.0
32,0.007140163756903014,0.9986876845359802,0.4086145208584494,0.876,0.8436400539969108,1.0,1.0,0.9,0.875,0.8125,1.0,0.8695652173913043,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.7692307692307693,1.0,0.5,1.0,0.42857142857142855,1.0,0.4,0.9,0.5,1.0,0.5,1.0
33,0.008418426992824812,0.9993438124656677,0.40961663458077235,0.876,0.8452513483172927,1.0,1.0,0.9,1.0,0.8125,1.0,0.8260869565217391,0.8461538461538461,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.7142857142857143,0.8,0.4,0.9,0.5,1.0,0.5,1.0
34,0.009986583740215778,0.998031497001648,0.42419664925907274,0.888,0.8504680032426589,1.0,1.0,0.9,1.0,0.8125,1.0,0.8260869565217391,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.8333333333333334,1.0,0.7142857142857143,0.8,0.2,0.9,0.5,1.0,0.5,1.0
35,0.010235648797017558,0.9993438124656677,0.41964553943369537,0.888,0.8683147587874614,1.0,1.0,0.9,1.0,0.9375,0.8571428571428571,0.782608695652174,0.9230769230769231,1.0,1.0,0.8,0.8235294117647058,0.9411764705882353,1.0,1.0,0.5,1.0,0.7142857142857143,0.8,0.6,0.9,0.5,1.0,0.5,1.0
