               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11584,            0.015693,                   0,           0.0012679,            0.013699,          0.00056559,          8.4493e-05,             0.10481,            0.023071,                   0,               0.002,               0.002,               0.082
                   1,              0.1086,            0.019223,                   0,           0.0071972,           0.0068493,            0.001362,          0.00032784,            0.093123,            0.030898,                   0,           0.0040729,           0.0040729,            0.063073
                   2,            0.097306,            0.027042,                   0,            0.018123,            0.020548,           0.0033084,           0.0007402,             0.08642,              0.0351,                   0,           0.0061182,           0.0061182,            0.044118
                   3,            0.088835,            0.028769,                   0,           0.0057372,            0.065068,           0.0028488,          0.00070368,            0.083049,            0.037296,                   0,           0.0081357,           0.0081357,            0.025136
                   4,            0.081878,            0.027961,                   0,            0.014306,            0.047945,           0.0041993,           0.0011482,            0.077706,            0.034743,                   0,            0.009736,            0.009736,            0.009736
                   5,            0.085804,            0.031716,                   0,            0.046158,             0.14726,            0.023157,           0.0049946,            0.075085,            0.037951,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.077976,            0.028104,                   0,             0.15995,             0.15753,            0.073592,            0.015567,            0.072739,            0.035451,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.073177,            0.029386,                   0,             0.14745,             0.32534,             0.10963,            0.022397,            0.081878,            0.031138,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.088056,            0.025101,                   0,            0.088816,             0.25342,            0.049791,              0.0103,            0.083249,            0.025556,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.077322,            0.027353,                   0,             0.10223,             0.24658,            0.057719,             0.01167,            0.073486,            0.031021,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.074262,             0.02891,                   0,            0.099108,              0.2774,            0.070171,            0.015989,            0.064934,            0.034937,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.072159,            0.027075,                   0,              0.1937,             0.46567,             0.17028,            0.035359,            0.075374,            0.029178,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.067468,            0.025576,                   0,             0.32024,             0.45205,             0.30409,             0.08012,            0.056746,             0.03363,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.061153,            0.028187,                   0,             0.44535,             0.50685,               0.417,             0.09725,            0.053189,            0.032472,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.061969,             0.02759,                   0,             0.30117,             0.51712,             0.33033,            0.085735,            0.059409,            0.029608,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.060868,            0.033331,                   0,             0.57279,             0.65411,             0.59352,             0.17823,             0.05112,             0.03164,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.053543,            0.028235,                   0,             0.57424,             0.68493,             0.61066,             0.17751,            0.046928,            0.032304,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.056439,            0.025356,                   0,             0.32047,             0.43284,             0.28436,            0.096821,            0.061043,            0.027313,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.063458,            0.029936,                   0,             0.41248,             0.62329,             0.43223,             0.12138,            0.051208,            0.029127,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.053773,            0.025724,                   0,             0.55811,             0.71918,             0.64669,             0.22375,            0.043541,            0.031765,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.050664,            0.028592,                   0,             0.59718,             0.50342,             0.55133,             0.14138,             0.04942,            0.028091,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.055399,            0.027189,                   0,             0.44408,              0.5411,             0.40651,             0.14294,            0.048152,            0.027834,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.051359,            0.026377,                   0,             0.57331,             0.73288,             0.61449,             0.22098,            0.043169,            0.027843,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.048002,            0.024134,                   0,             0.33287,              0.5468,             0.36165,             0.16324,            0.052903,            0.025518,                   0,            0.008548,            0.008548,            0.008548
